epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1128.08,1.21924,0.98185,1.35827,0.85793,0.61975,0.75658,0.38362,1.71077,1.29689,1.86247,0.00147171,0.00147171,0.00147171
73,1143.3,1.21468,1.01168,1.36121,0.82228,0.52373,0.66994,0.38331,1.56568,1.2987,1.71482,0.00146896,0.00146896,0.00146896
74,1158.62,1.21887,1.00146,1.35334,0.82157,0.60152,0.7246,0.40441,1.59034,1.30282,1.76356,0.00146621,0.00146621,0.00146621
75,1173.88,1.22194,1.0145,1.37926,0.71041,0.66909,0.74115,0.40147,1.58497,1.25588,1.7605,0.00146346,0.00146346,0.00146346
76,1189.14,1.1734,0.9589,1.34373,0.79232,0.62232,0.71508,0.43565,1.61475,1.21249,1.78476,0.00146071,0.00146071,0.00146071
77,1204.69,1.19834,0.95944,1.3438,0.79941,0.66406,0.77418,0.41505,1.62457,1.13564,1.81354,0.00145796,0.00145796,0.00145796
78,1220.07,1.17846,0.9294,1.32483,0.75258,0.71273,0.77238,0.43734,1.58459,1.23831,1.74843,0.00145521,0.00145521,0.00145521
79,1235.45,1.20463,0.96839,1.35991,0.8292,0.68872,0.78571,0.46019,1.49639,1.15815,1.66272,0.00145246,0.00145246,0.00145246
80,1250.9,1.17116,0.94391,1.32103,0.80308,0.62911,0.76232,0.44266,1.58394,1.19102,1.79094,0.00144971,0.00144971,0.00144971
81,1266.21,1.13094,0.91998,1.31269,0.86203,0.61992,0.71982,0.42803,1.55185,1.28985,1.69093,0.00144696,0.00144696,0.00144696
82,1281.54,1.13638,0.8719,1.29736,0.77914,0.6789,0.73506,0.45956,1.53129,1.2851,1.7184,0.00144421,0.00144421,0.00144421
83,1296.82,1.15229,0.91615,1.31069,0.84795,0.65738,0.7445,0.46141,1.55468,1.21975,1.7345,0.00144145,0.00144145,0.00144145
